no,Organization type,Owning,deposit,monthly,location,area,stay,industry,manpower,sub_term,association,Government support,move_Intention,move_area,move_monthly,move_deposit
1,1,3,1000,100,4,45,2006,8,1,1,2,1,1,50,150,1000
2,1,3,1000,90,4,35,2016,4,7,2,2,1,1,50,70,1000
3,1,3,1000,70,4,40,2015,4,2,1,2,4,1,50,50,1000
4,3,0,0,0,4,50,0,4,9,0,0,0,1,0,0,0
5,1,3,300,25,3,4,2008,5,2,4,2,1,0,0,0,0
6,0,2,5000,0,0,40,2010,5,4,2,2,1,0,0,0,0
7,1,4,0,90,4,40,2010,5,2,2,2,1,1,60,60,1000
8,1,3,0,40,3,12,2000,4,2,1,2,1,0,0,0,0
9,1,3,1000,100,4,30,2010,6,11,2,2,1,0,0,0,0
10,1,3,500,30,3,8,2010,6,1,1,2,1,0,0,0,0
11,1,3,1000,100,0,21,2010,5,3,2,2,1,0,0,0,0
12,1,4,1000,100,0,55,0,5,3,2,2,1,1,80,120,2000
13,1,3,1000,90,3,40,2007,2,3,1,1,1,1,40,150,0
14,5,0,1000,40,3,10,0,5,2,3,2,1,1,0,20,500
15,3,3,0,0,3,15,0,5,3,3,2,1,0,0,0,0
16,5,0,250,70,2,25,0,8,2,1,2,1,1,25,500,40
17,1,0,600,65,3,17,0,7,1,2,2,1,1,15,40,0
18,1,3,200,65,2,44,2011,7,3,1,2,1,0,0,0,0
19,2,2,0,270,4,330,2014,1,7,1,2,1,0,0,0,0
20,1,3,1500,0,0,0,2015,8,18,2,2,1,1,70,150,2000
21,1,2,3000,300,4,100,1996,1,5,1,2,1,1,180,250,3000
22,1,0,600,50,2,35,2015,8,7,1,2,1,1,35,0,0
23,1,4,1000,60,4,20,2013,8,1,1,2,1,1,30,50,1000
24,1,0,600,55,2,30,2009,5,2,2,2,1,0,0,0,0
25,1,3,2000,200,0,56,2008,5,20,1,2,1,1,100,250,3000
26,1,0,1000,140,4,45,2016,5,4,1,2,1,1,60,60,1000
27,1,3,500,60,3,10,1991,8,2,0,2,0,1,15,30,500
28,1,3,0,0,3,15,2006,7,2,1,2,1,0,0,0,0
29,1,3,2000,60,4,20,2016,8,5,1,2,1,1,20,30,1000
30,1,3,1000,45,3,9,2015,5,1,1,2,1,1,20,40,50
31,1,3,1500,85,0,0,2014,5,5,1,2,1,0,0,0,0
32,1,3,1500,90,4,25,2011,3,4,1,2,1,1,30,50,500
33,1,3,500,55,2,25,1995,5,4,0,2,1,1,0,70,1000
34,1,3,2000,150,4,40,2010,5,4,1,2,1,1,40,70,1000
35,1,3,500,42,2,20,2014,5,2,1,2,1,1,20,40,500
36,1,1,0,0,3,40,2000,4,8,4,2,1,1,100,200,3000
37,1,3,2000,170,4,27,2015,5,2,4,2,1,1,80,100,3000
38,1,3,500,50,2,30,2014,5,2,2,2,4,0,0,0,0
39,1,3,1000,30,2,60,2010,5,5,2,2,5,1,70,50,1000
40,1,3,1000,70,4,40,2006,3,2,4,2,1,0,0,0,0
41,1,3,1000,130,4,35,2008,4,6,2,2,5,1,60,80,1000
42,1,3,1500,190,4,45,2014,5,12,4,2,1,0,0,0,0
43,1,3,700,80,2,40,2012,4,2,1,1,1,1,40,50,1000
44,1,3,2000,105,2,50,2011,5,13,1,2,1,1,70,50,1000
45,1,0,1500,120,4,45,2006,5,7,2,2,4,0,0,0,0
46,1,3,2500,85,4,55,2011,7,4,1,2,4,1,70,60,1500
47,1,4,0,40,2,25,2014,4,1,2,2,1,0,0,0,0
48,1,3,1000,50,3,12,2010,7,3,1,2,1,0,0,0,0
49,1,3,1000,88,4,40,2015,5,2,1,2,1,0,0,0,0
50,1,3,1000,100,4,20,2014,7,2,4,2,1,1,0,60,1000
51,1,3,500,30,2,18,1998,5,2,1,2,1,0,0,0,0
52,1,1,0,0,3,48,0,7,8,1,2,1,1,100,200,5000
53,1,3,1000,100,4,30,2004,3,2,1,2,1,1,30,70,1000
54,1,3,1500,150,4,40,2011,2,4,1,2,4,1,50,100,1000
55,1,3,0,0,4,60,2016,2,8,2,2,1,1,60,150,2000
56,1,3,3000,150,4,60,2001,6,10,2,1,4,1,60,100,0
57,1,3,2000,132,4,57,2012,5,10,2,2,1,1,100,200,1000
58,1,3,250,190,4,55,2014,5,3,3,2,1,1,50,120,1000
59,1,3,1000,15,4,20,2016,6,3,2,2,1,0,0,0,0
60,1,1,0,0,3,25,2010,5,2,1,2,1,0,0,0,0
61,1,3,2000,200,3,45,2013,5,2,2,2,1,1,50,60,2000
62,1,3,500,30,4,20,2016,5,3,1,2,1,0,0,0,0
63,1,4,1000,20,0,20,2016,5,2,2,1,1,1,25,9,1000
64,1,3,1500,120,4,47,1991,5,1,2,2,1,0,0,0,0
65,1,4,1500,150,4,60,2015,6,5,2,2,1,0,0,0,0
66,1,3,2500,190,4,70,2010,5,3,2,2,1,1,60,50,2000
67,1,3,2000,100,3,11,2010,5,2,1,2,4,1,20,60,2000
68,1,3,2000,200,3,120,2008,5,7,2,2,1,0,0,0,0
69,1,3,2000,209,3,17,2006,5,2,1,2,1,0,0,0,0
70,1,3,0,0,4,23,2015,7,3,1,2,4,1,40,100,1000
